SetToDash,Name,UsageCount,Guess,ActualPositionId
,TAIKAI’nin Montaj ve devreye alma süpervizörü,2,,baa1b6c5-8f48-47d2-84e9-08ded5cff1a6
,Technical field engineer,2,,624f528e-0f17-46b8-9b48-08ded5cfb542
,Technician,2,,6ccf4ac9-0df5-41ca-83d9-08ded5cff1a6
,Teknik Servis Mühendisi,2,,324b6a36-abc3-4616-8549-08ded5cff1a6
,TEKNİK OFİS MÜDÜRÜ,2,,7e1279ce-570c-4941-8468-08ded5cff1a6
,TEKNİSYEN,2,,bd61b8d6-c55b-4e67-83ae-08ded5cff1a6
,test ve devreye alma,2,,7c6d83b4-b8c0-426e-83b4-08ded5cff1a6
,TEST VE DEVREYE ALMA SÜPERVİZÖRÜ,2,,451afa71-c35d-4131-8558-08ded5cff1a6
,TFA - Generator Specialist,2,,3a82ec60-5ce1-42d6-83a2-08ded5cff1a6
,Trafo Süpervizörü,2,,1bc5afc2-6841-4e50-8429-08ded5cff1a6
,TRAFO SÜPERVİZÖRÜ,2,,5138f217-7fbe-40f0-8495-08ded5cff1a6
,Türbin motor ustası,2,,3d036462-dfb8-4021-8534-08ded5cff1a6
,TÜRBİN BORUCU EKİPBAŞI,2,,668c0bf3-688d-4220-846f-08ded5cff1a6
,USTABAŞI EKİPMAN MONTAJCI,2,,8850f1cb-1068-43da-84bc-08ded5cff1a6
,Vinç Operatörü,2,,237dd98d-bc9c-47ea-85d9-08ded5cff1a6
,Welder,2,,2a60ff7e-b6ab-4954-8467-08ded5cff1a6
,Yapım Müdürü,2,,666e3497-950d-43a4-8556-08ded5cff1a6
,çelik montaj FORMENI,2,,62c02058-be51-4d72-839a-08ded5cff1a6
,ÇELİK EKİPBAŞI-Polat gurnawlaryň topar başlygy,2,review,f822e1e0-9b50-4a79-86fa-08ded5cff1a6
,İdari İşler Şefi,2,,0d1cb0b7-f0d4-4476-9af9-08ded5cfb542
,İDARİ İŞLER ŞEFİ,2,,d4fa1655-8dce-4c88-85a6-08ded5cff1a6
,İnce İşler Formeni,2,,3d3409b2-e264-4468-83e4-08ded5cff1a6
,İNŞAAT MÜHENDİSİ,2,,6540d428-358e-4048-852d-08ded5cff1a6
,İSG-Ç SÜPERVİZÖRÜ,2,,d682ed91-03d0-472e-85fa-08ded5cff1a6
,İç Denetim Müdürü,2,,4b7dc5a2-27db-446a-84be-08ded5cff1a6
,İş Güvenlik Müdürü,2,,f0fa21ec-fe94-4129-8449-08ded5cff1a6
,İş Güvenlik Şefi,2,,56af7d12-07bb-4599-85e0-08ded5cff1a6
,İşletme elektrik bakımcısı,2,,72a9a082-b4cb-4c1c-9af0-08ded5cfb542
